language	group_a	group_b	U	p_raw	p_bonferroni
eng	Literal	Formal	259391.0	5.885482874737476e-40	7.062579449684971e-39
eng	Literal	Dynamic	125363.0	1.0706593287820628e-243	1.2847911945384753e-242
eng	Literal	Paraphrase	9074.0	6.454452769335673e-188	7.745343323202807e-187
eng	Formal	Dynamic	299081.0	3.0859912101535346e-204	3.703189452184241e-203
eng	Formal	Paraphrase	24258.0	1.325847672732281e-189	1.5910172072787372e-188
eng	Dynamic	Paraphrase	252868.0	1.960810266205767e-59	2.3529723194469204e-58
fra	Literal	Formal	172252.0	0.00005234923595737596	0.0006281908314885115
fra	Literal	Dynamic	52857.0	2.8170993869435963e-31	3.3805192643323154e-30
fra	Literal	Paraphrase	40558.0	1.6418009723873347e-47	1.9701611668648015e-46
fra	Formal	Dynamic	395426.0	1.1859935924583948e-43	1.4231923109500737e-42
fra	Formal	Paraphrase	308792.0	5.770051593199764e-83	6.924061911839717e-82
fra	Dynamic	Paraphrase	250109.0	1.939303468529678e-9	2.3271641622356134e-8
ita	Literal	Formal	358016.0	8.985139714722784e-6	0.0001078216765766734
ita	Literal	Dynamic	137385.0	2.9651555452302927e-23	3.5581866542763515e-22
ita	Literal	Paraphrase	162927.0	9.117523603153019e-10	1.0941028323783622e-8
ita	Formal	Dynamic	215550.0	3.0865656021304766e-11	3.703878722556572e-10
ita	Formal	Paraphrase	249372.0	0.006087624199050156	0.07305149038860187
ita	Dynamic	Paraphrase	152255.0	0.9997854349890676	1.0
pol	Literal	Formal	707818.0	8.50864048925724e-9	1.0210368587108688e-7
pol	Literal	Dynamic	143273.0	4.3751254325217535e-34	5.250150519026104e-33
pol	Literal	Paraphrase	221493.0	8.499856490059317e-39	1.019982778807118e-37
pol	Formal	Dynamic	346625.0	6.07805462449028e-21	7.293665549388335e-20
pol	Formal	Paraphrase	539493.0	1.3819237531342172e-22	1.6583085037610606e-21
pol	Dynamic	Paraphrase	211743.0	0.9112809100357815	1.0
spa	Literal	Formal	195344.0	0.13044422560156133	1.0
spa	Literal	Dynamic	397370.0	6.852062528164732e-17	8.222475033797678e-16
spa	Literal	Paraphrase	477716.0	2.7418248672695836e-8	3.2901898407235004e-7
spa	Formal	Dynamic	277627.0	1.2553557333660377e-9	1.5064268800392452e-8
spa	Formal	Paraphrase	331975.0	0.00023901752753687286	0.002868210330442474
spa	Dynamic	Paraphrase	993484.0	0.9995350844334296	1.0
